location,population,date,human_development_index,total_cases,total_deaths,infected_death_percentage
Azerbaijan,10139175,"2020-01-16 00:00:00",0.756,7258,80,1.102
Azerbaijan,10139175,"2020-01-17 00:00:00",0.756,7963,81,1.017
Azerbaijan,10139175,"2020-01-18 00:00:00",0.756,8077,93,1.151
Azerbaijan,10139175,"2020-01-19 00:00:00",0.756,7925,83,1.047
Azerbaijan,10139175,"2020-01-20 00:00:00",0.756,7990,83,1.039
Azerbaijan,10139175,"2020-01-21 00:00:00",0.756,6222,102,1.639
Azerbaijan,10139175,"2020-01-22 00:00:00",0.756,7612,94,1.235
Azerbaijan,10139175,"2020-01-23 00:00:00",0.756,6658,103,1.547
Azerbaijan,10139175,"2020-01-24 00:00:00",0.756,7723,101,1.308
Azerbaijan,10139175,"2020-01-25 00:00:00",0.756,7400,94,1.270
Azerbaijan,10139175,"2020-01-26 00:00:00",0.756,7039,99,1.406
Azerbaijan,10139175,"2020-01-27 00:00:00",0.756,7317,107,1.462
Azerbaijan,10139175,"2020-01-28 00:00:00",0.756,7345,102,1.389
Azerbaijan,10139175,"2020-01-29 00:00:00",0.756,7745,107,1.382
Azerbaijan,10139175,"2020-01-30 00:00:00",0.756,6554,92,1.404
Azerbaijan,10139175,"2020-01-31 00:00:00",0.756,2876,57,1.982
Azerbaijan,10139175,"2021-01-01 00:00:00",0.756,2791,62,2.221
Azerbaijan,10139175,"2021-01-02 00:00:00",0.756,3293,64,1.944
Azerbaijan,10139175,"2021-01-03 00:00:00",0.756,3136,70,2.232
Azerbaijan,10139175,"2021-01-04 00:00:00",0.756,3361,62,1.845
Azerbaijan,10139175,"2021-01-05 00:00:00",0.756,2404,73,3.037
Azerbaijan,10139175,"2021-01-06 00:00:00",0.756,3302,64,1.938
Azerbaijan,10139175,"2021-01-07 00:00:00",0.756,3815,69,1.809
Azerbaijan,10139175,"2021-01-08 00:00:00",0.756,3488,64,1.835
Azerbaijan,10139175,"2021-01-09 00:00:00",0.756,3300,61,1.848
Azerbaijan,10139175,"2021-01-10 00:00:00",0.756,3455,63,1.823
Azerbaijan,10139175,"2021-01-11 00:00:00",0.756,3338,61,1.827
Azerbaijan,10139175,"2021-01-12 00:00:00",0.756,2437,53,2.175
Azerbaijan,10139175,"2021-01-13 00:00:00",0.756,3819,63,1.650
Azerbaijan,10139175,"2021-01-14 00:00:00",0.756,3404,53,1.557
Azerbaijan,10139175,"2021-01-15 00:00:00",0.756,3116,55,1.765
Azerbaijan,10139175,"2021-01-16 00:00:00",0.756,3685,61,1.655
Azerbaijan,10139175,"2021-01-17 00:00:00",0.756,3464,52,1.501
Azerbaijan,10139175,"2021-01-18 00:00:00",0.756,3340,56,1.677
Azerbaijan,10139175,"2021-01-19 00:00:00",0.756,2372,53,2.234
Azerbaijan,10139175,"2021-01-20 00:00:00",0.756,3860,62,1.606
Azerbaijan,10139175,"2021-01-21 00:00:00",0.756,3263,56,1.716
Azerbaijan,10139175,"2021-01-22 00:00:00",0.756,3069,69,2.248
Azerbaijan,10139175,"2021-01-23 00:00:00",0.756,3527,61,1.730
Azerbaijan,10139175,"2021-01-24 00:00:00",0.756,3368,67,1.989
Azerbaijan,10139175,"2021-01-25 00:00:00",0.756,3153,60,1.903
Azerbaijan,10139175,"2021-01-26 00:00:00",0.756,3110,66,2.122
Azerbaijan,10139175,"2021-01-27 00:00:00",0.756,3501,56,1.600
Azerbaijan,10139175,"2021-01-28 00:00:00",0.756,3712,69,1.859
Azerbaijan,10139175,"2021-01-29 00:00:00",0.756,2663,57,2.140
Azerbaijan,10139175,"2021-01-30 00:00:00",0.756,3473,59,1.699
Azerbaijan,10139175,"2021-01-31 00:00:00",0.756,2390,35,1.464
Bahamas,393248,"2020-01-01 00:00:00",0.814,93,1,1.075
Bahamas,393248,"2020-01-02 00:00:00",0.814,233,2,0.858
Bahamas,393248,"2020-01-03 00:00:00",0.814,253,3,1.186
Bahamas,393248,"2020-01-04 00:00:00",0.814,186,4,2.151
Bahamas,393248,"2020-01-05 00:00:00",0.814,219,5,2.283
Bahamas,393248,"2020-01-06 00:00:00",0.814,152,6,3.947
Bahamas,393248,"2020-01-07 00:00:00",0.814,341,7,2.053
Bahamas,393248,"2020-01-08 00:00:00",0.814,96,2,2.083
Bahamas,393248,"2020-01-09 00:00:00",0.814,181,8,4.420
Bahamas,393248,"2020-01-10 00:00:00",0.814,407,4,0.983
Bahamas,393248,"2020-01-11 00:00:00",0.814,286,3,1.049
Bahamas,393248,"2020-01-12 00:00:00",0.814,335,4,1.194
